Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2006","2006","1000 USD","1422096","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2007","2007","1000 USD","2662546","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2008","2008","1000 USD","3609035","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2009","2009","1000 USD","1200579","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2010","2010","1000 USD","4117583","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2011","2011","1000 USD","4396005","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2012","2012","1000 USD","2722577","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2013","2013","1000 USD","3215511","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2014","2014","1000 USD","3036044","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2015","2015","1000 USD","3540479","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2016","2016","1000 USD","2792549","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2017","2017","1000 USD","2414514","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2018","2018","1000 USD","1313217","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2019","2019","1000 USD","3012738","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2020","2020","1000 USD","1867359","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2021","2021","1000 USD","1781766","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2022","2022","1000 USD","2891532","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2023","2023","1000 USD","937217","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5910","Export quantity","0141","Soya beans","1995","1995","t","14","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5910","Export quantity","0141","Soya beans","1999","1999","t","24","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5910","Export quantity","0141","Soya beans","2010","2010","t","100","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5910","Export quantity","0141","Soya beans","2017","2017","t","25","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5922","Export value","0141","Soya beans","1995","1995","1000 USD","13","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5922","Export value","0141","Soya beans","1999","1999","1000 USD","10","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5922","Export value","0141","Soya beans","2010","2010","1000 USD","24","A","Official figure"
"TM","Detailed trade matrix","036","Australia","156","China, mainland","5922","Export value","0141","Soya beans","2017","2017","1000 USD","18","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5910","Export quantity","0141","Soya beans","2019","2019","t","0.02","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5910","Export quantity","0141","Soya beans","2020","2020","t","0.04","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5910","Export quantity","0141","Soya beans","2021","2021","t","0.11","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5910","Export quantity","0141","Soya beans","2022","2022","t","0.1","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5922","Export value","0141","Soya beans","2019","2019","1000 USD","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5922","Export value","0141","Soya beans","2020","2020","1000 USD","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","156","China, mainland","5922","Export value","0141","Soya beans","2021","2021","1000 USD","0","A","Official figure"
